asin,title,category_path,label
B00FMZERV6,Bottoms Out Women's Plaid Flannel Pajama Bottom,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B002RF53X0,Olga Women's Plus-Size Sheer Leaves Minimizer Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0076OEANQ,Jax Women's Satin Tucked Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00FG0I1GO,Sodamix Sleeveless Skater Dress Velvet Leopard Prints Going Out Party Belted New,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B009N40SYW,Boy Shorts - 100% Silk - Blue with White Lace,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B000PEMPRW,Luscious Lace Wire-Free Style # 7070 7070 36NA Rosewater,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0079088DA,Joe Browns Women's Passionately Perfect Dress Navy Floral 10,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B005S01A2O,LE9011217 - Chiffon Floral Sleeveless V-Neck Empire Waist Long Dress - Turquoise /Large,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00GSR673I,Black White Red Lace 3/5 Sleeve Mini Sexy Dress Club Wear Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00FN7PKFA,Lily Cruz Women's Embroidered Mexican Peasant Half Mini Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B000PCKF7G,1220 - JMS Woman Casual Attitude Cotton Spandex Wire Free White 38D JMS Casual,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00EVA4PRY,Frederick's of Hollywood NEW Hollywood Heart Throb Bra Womens - 36B WHITE,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B008PF39HS,"PACT Women's Bikini Panty, Quilted, X-Small","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00FW52Y5W,"Cotton Cantina Womens Lightly Padded Front Closure Sport Bra with Lace Racerback (Medium, Silver)","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00I0XMXUY,MKL Collective Women's Game On Dress Small Black,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B005TESOYQ,Ladies Royal Blue Batwing Sleeved One Shoulder Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B002QXLINM,Only Hearts Women's Organic Cotton Bikini Panty,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00A38403C,"Warner's Women's No Pinching. No Problems.  V-front Hipster Panty, Watermelon, X-Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00HGB7022,2LUV Women's Stud Neckline Chiffon Tank Maxi Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0012ZAUJI,Playtex Secrets Women's Seamless Cottony Underwire Bra # 4415,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B007XD9K7Q,maxandcleo Women's Scarlett Dot Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0023ZXKAW,Hanes Women's 100% Cotton Lined Wire Free Bra (2 Pack),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00F45U58S,Louisa Balconette Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00BBSOZMO,Barely There Women's Invisible Look Unlined Jacquard Underwire Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00EYI62W4,Vedette Women's Valerie Latex Waist Cincher,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0007YR9LW,Playtex Women's 18-Hour Original Comfort-Strap Bra #4693,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00DQW0DYM,G2 Chic Women's Star Print Bra and Panty with Lace Details (2 Piece),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00EWFHP20,"London Times Women's Short Sleeve Pleated Flare Dress, Poppy Red, 16","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00977MJCO,Shock Absorber Women's Ultimate Gym Sports Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00B3W80L0,Bubbles Bodywear Caboost Midrise Padded Panty,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00E9LJ5UW,Asoidchi Women's Lace Floral Crew Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00369FTHG,Le Mystere Women's Techfit Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00GXOE29W,Stanzino Women's Sleeveless Denim and Chiffon Belted Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B001SI993M,Rago Women's Long Line Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00BKV2MH2,Hee Grand Women Print Sleeveless T-Shirt Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00AMROZRA,PacificPlex Women's 50's Retro Rockabilly Polkadot Sundress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0083GSOLA,Olga Women's Pretty Smooth Lift Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00DEH80H6,White Orchid Pullover Nightshirt,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0017RAI9S,LOVE HEART PUCKER DRESS--L,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0047F5OSM,Del Rossa Women's Short Classic Satin Lounge Robe,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0075HRZY0,Bally All-in-One Body Slimmer,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00BLG3OCS,"Julian Taylor Women's Sleeveless Sweater Knit Dress, Taupe/Black, X-Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B007UYY1FO,"Coupe Collection Women's Erica Dress, Black, Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00CXRXSVQ,Samantha's Style Shoppe Winston Brands Seaside Shells And Coral Women's Caftan,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00E5ATM2S,Jax Women's Sleeveless Satin Banded Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00DU8ROFS,Womens Long Sleeveless Chiffon Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00HDAYOD4,PrettyGuide Women Mass Effect N7 WET Look Print Sleeveless Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0062HMOMC,"Hello Kitty Junior's Hk Cozy Night Top And Pant Pajama Set, Black, Small","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B004O3CSF4,Ci Sono by Journee Juniors Two Pocket Spaghetti Strap Denim Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00ARB159C,Strapless Elastic Tummy Trimmer Corset Girdle Waist Cincher Beige S,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B005OOR6BI,"Kensie Women's Sketchy Plaid Dress, Black Multi, Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B002WB4OZ2,"Bali Women's Fit Your Curves Cotton Stretch Hi-Cut Panty Brief Panty,M8T,2XL","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00JJAG132,made2envy Boat Neckline 2/3 Sleeves Lace Overlay Evening Midi Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00BFDDKKS,Wonderful Edge Lace Boyshort,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B000J407WI,Hanes Women's 6 Pack Core Cotton Brief Panty,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00FCRPA1A,Pandolah Women Sexy Steel Boned Bustiers Corset Lingerie with Shoulder Straps,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00FEUF20E,U ARe! Fashions Women's Full Length Wrap V-Neck Maxi,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00CQ09S9Q,"London Times Women's 3/4 Sleeve Printed Scuba Sheath Dress, White/Black, 12","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00EA8Y8PG,LnLClothing Women's Sleeveless Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00GBXLN6A,Tiana B Women's Hacci Dress with Faux-Leather Combo,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B008GQ3H5A,Yoana Baraschi Women's Secret Code Tunic Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00BYN0VSI,Star Vixen Women's Short-Sleeve Faux-Wrap Dress with Collar,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00AHEZJYQ,"PJ Harlow Bella Three Quarter Swing Dress (XS, Chocolate)","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00IVEJJIG,eShakti Women's Keyhole piped trim poplin dress XL-16 Regular Black/cream,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00I2TB9LU,"Carole Ruffle Trimmed Shortie Pajamas, Floral, Small","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00G9I9Q9S,Cotton Cantina Womens 2 Pack Curvy Sprts Bra with Lace Trim,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00DYFKL48,1vemoon Women's Scoop-Neck Sleeveless Chiffon Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00BS3GH1O,herafa Evening Gowns Elegant NO.p31933,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B004ZWCHYG,"A. Byer Juniors Shakira Asym Ruffle Bust Dress, Black, 7","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00JCCI40A,Kinnaird Ireland Luxury Strong Steel Boned Underbust Shaper Corset,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00JQRZKSA,Hourglass Figure Mermaid Maxi,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00ET1V622,Fruit of the Loom Women's Plus-Size Non-Binding Brief Panties,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CGY6RKU,"AGB Women's Chiffon Dress, Fuchsia, 8","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00IPDILG4,Eileen West Women's 50 Inch 100% Cotton Lawn Solid Rp Gown,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0088BWX6W,Junior's Belted floral print dress with assymetrical hem bright blue,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00CI0712K,Zehui Women's Chiffon Vogue Boho Evening Long Casual Dress with Belt,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0007YXW4K,Playtex Women's Secrets Cottony Gel Comfort-Strap Underwire Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00AAQ0NBA,Green Trade Women's Lace Up Boned Corset Bustier Dress Bustier Boned Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00FMLT5NA,"Derek Heart Juniors Short Sleeve Colorblock Hi Low Dress, White/Black, Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B005AS8OE6,Lilly Pulitzer Women's Desiree Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00CBE8X4I,Dark Lure - Biker Girl Underbust PVC Leather Steel Boned Womens Corset Top,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CQSTIUC,AX Paris Women's Stripe Contrast Skater Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B009XIR152,Anna-Kaci S/M Fit Black and Red Sequin and Organza Scallop Pattern Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0090I5I2I,"McGinn Women's Savannah Work Dress, Black, 8","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0070GQ8PS,"Women's Lounge Pants Combo Pack, 3 Pants, 100% Cotton Flannel","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B004H8FE5C,"Halston Heritage Women's Front Drape Dress, Rosegold, 6","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00E9OR326,"Sandra Darren Women's Plus-Size Long Sleeve Dress with Tie Belt, Silver/Black, 14","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00DRMOY7S,GO2BRAS Vanessa Unlined Balconette Underwire 1433147,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00JULKNBQ,ZLMDS-Clubwear Womens New Design Black Sleeveless Plus Size Evening Party Dress XXL,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00ITZB14C,On Trend Paris Dress Blue Bohemian 3/4 Sleeve Long Maxi Dress (x-Large),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00FGGIK2I,Butt Lifter Boy Shorts,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00I0UK0AW,b.tempt'd by Wacoal Women's B.Delighted Tanga,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00AB3JT3K,Clarisse Sweetheart Baby Doll Prom Dress 1321,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00EB653P6,"London Times Women's Plus-Size Cap Sleeve Tulip Skirt Sheath Dress, Black/Gold, 14W","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B009G0RHM4,eloquii Long Sleeve Studded Dress Women's Plus Size Black 14W,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00J2RQZLU,Wingler Lingerie Women's Queen Size Flaunt It Charmeuse Chemise A163-Black,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00889Y2V8,"Ivy Lane Design Isabella Bridal Garter Set, White","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0050JQRRQ,"Bali Women's Brasette, Smoothers,Nude,34/36 D","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B003BNZ3HS,Maidenform Womens Dream Boyshort Panty,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CE7IGPI,WOMENS Pink Victoria's Secret NFL San Diego Chargers Pajama Pants Small Blue,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B003P9WE1G,Panache Women's Tango Classic Underwire Plunge Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00E4GM50Y,"Anne Klein Women's Plus-Size Pleated Long Sleeve Jersey Sheath Dress, Peacock Multi, 18W","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B007WSR8HG,"Hue Sleepwear Women's Knit Notched Dachie Set, Sugar Coral, X-Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00I0PY6BQ,Jessica Howard Women's Sleeveless Shirred Keyhole Neck Maxi Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00EWKABIA,"Danny &amp; Nicole Women's Long Sleeve Side Embellished Wrap Dress, Black, 14","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00EAI3VTU,"Alo Yoga Women's Inhale Embellishment Bra, Cerulean, Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00BUC80DQ,"Women's Satin Kaftan in Red Tiger Print, One Fits Most, Caf-65","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B007R9TGIO,"Cheap Monday Women's Yuke Dress, Black, Medium","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00ATDDMOO,"Cosabella Women's Giulietta Thong Panty, Rock/Persimmon, One Size","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00H0FL908,"Rosme Womens Balconette Bra Collection &quot;Annija&quot;, Size 44D","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00BPBCKQK,Voodoo Vixen Nautical American Lady Pinup Pleated Classic Pencil Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0091DLGD2,Womens Ladies Coil Spring Maxi Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B007GKMG3G,N by Natori Womens Bare Support Underwire Molded Tank Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0076FD3EC,"eight sixty Women's V-Neck Dress, Champagne/Silver, Small","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B000B8PA0G,"Carole Hochman Women's Fleece Pajama Set, Mint Happy Dogs, Medium","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00JVAPO0G,Alo Yoga Women's Goddess Cross Back Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00AO2I5RY,Lilyette Women's Indulgent Comfort Embellished Unlined Mimimizer,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00IB6OMGI,Eileen West Women's Country Fields Jersey Ballet Gown,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B001MY3V36,Pink Butterfly Hapi Coat #50HC12460BPK,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
